clavecct,nombrecct,domicilio,numext,entrecalle,ycalle,callepost,codpost,colonia,ncolonia,localidad,municipio,entidad,ambito,longitud,latitud,turno,nturno,tipo,ntipo,nivel,nnivel,subnivel,nsubnivel,servicio,nservicio,control,ncontrol,subcontrol,nsubcontrol,sostenimiento,nsostenimiento
05FEI0001B,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 25","BOULEVARD DIAGONAL REFORMA 2435","",AZTECAS,ATOYAC,"",27390,"","",0001,035,05,URBANO,-103.441667,25.544444,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0002A,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 29","BOULEVARD FRANCISCO I MADERO SN",SN,"16 DE SEPTIEMBRE",XICOTENCATL,"",27900,"","",0001,009,05,URBANO,-103.273056,25.775,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0003Z,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 28","FIERRO 4","","AVE. CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0004Z,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 17","NICOLAS JIMÉNEZ SN",SN,"CARMEN SALINAS","CARLOS MEDINA","",26800,"","",0001,028,05,URBANO,-101.12,27.848333,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0005Y,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 31","PROLONGACIÓN DAVID BERLANGA NÚM. 2000","","AVENIDA MAGISTERIO","BOULEVARD NAZARIO ORTIZ GARZA","",25000,"","",0001,030,05,URBANO,-101.0,25.433333,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0006X,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 1",BUENAVISTA,"","CARRETERA SALTILLO - ZACATECAS","CARRETERA SALTILLO - ZACATECAS","",25315,"","",0001,030,05,URBANO,-101.0,25.433333,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0007W,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 2","REFORMA SN",SN,ALLENDE,BRAVO,"",27980,"","",0001,024,05,URBANO,-102.183611,25.436944,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0008V,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NUM.11","INSURGENTES 2021","","VENUSTIANO CARRANZA","APOLONIO M. AVILES","",25540,"","",0001,018,05,URBANO,-101.416667,26.900833,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0009U,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 18","NICOLAS JIMÉNEZ SN",SN,"CARMEN SALINAS","CARLOS MEDINA","",26800,"","",0014,032,05,URBANO,-101.2175,27.938611,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0010J,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 23","AVENIDA CARRANZA 800","",MONTERREY,"MÉXICO","",26000,"","",0001,025,05,URBANO,-100.523056,28.7,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
